店名,店舗電話番号,住所,営業時間,定休日,アクセス,入口幅が80cm以上である,入口の移動経路は平坦または段差が2cm以下である,店舗内の椅子は移動可能である,店舗内は車椅子での移動が可能である,テーブル下にスペースがある（高さ65cm×幅70cm×奥行45cm程度）,店舗内または同じフロア内にトイレがある,車椅子使用者対応トイレがある（施設内の他フロアを含む）またはオストメイトがある,写真メニューがある,英語等外国語のメニューがある,点字表記のメニューがある,筆談によるコミュニケーションがある,手話のできるスタッフがいる,事前申請によるアレルギー対応が可能,事前申請によるベジタリアンまたはヴィーガン対応が可能,事前申請によるハラール対応が可能,店舗URL
ペンナロッソ,03-3903-5579,東京都北区赤羽南1-4-9 南赤羽グリーンハイツ 1F,ランチ10:30~14:00(LO14:00)ディナー17:00~22:00(LO21:00),火曜日,JR「赤羽」徒歩3分,〇,,〇,〇,〇,〇,,,,,〇,,,,,https://tabelog.com/tokyo/A1323/A132305/13012304/?cid-yo_ms_mkt_shop_13012304&msclkid-1cc3d2c82ec21b469018b7ae9552c563
AIDA,03-6915-5730,東京都板橋区板橋1-49-8 ファイン板1ビル,火~金ランチ11:00~14:30(LO14:30)ディナー18:00~23:00(LO22:00)土・日・祝ランチ11:00~15:00(LO15:00)ディナー17:00~22:00(LO21:00),月曜日,地下鉄「新板橋」徒歩2分、JR「板橋」徒歩4分、東武線「下板橋 」徒歩7分,〇,,〇,〇,〇,〇,,〇,,,〇,,,,,https://tabelog.com/tokyo/A1322/A132201/13132544/
ななテラス,03-5926-7945,東京都板橋区向原3-7-7,ランチ11:30~14:00(LO13:30)ディナー17:00~19:30(LO19:00),不定休,地下鉄・西武線「小竹向原駅」徒歩9分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,〇,,〇,https://nana-terrace.jimdofree.com/
カフェ ねねね,03-5964-5477,東京都板橋区向原3-7-9 ココロネ板橋 1F,11:30~15:00(LO14:30),土・日・祝,地下鉄・西武線「小竹向原駅」徒歩8分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,〇,〇,〇,https://s.tabelog.com/tokyo/A1322/A132202/13252528/
肉焼亭 うしのすけ,03-5970-1129,東京都板橋区蓮沼町22-8 フェルデ本蓮沼 2F,16:00~23:00(LO22:30)※土・日のみ12:00~,不定休,地下鉄「本蓮沼」徒歩1分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,,,〇,https://r.gnavi.co.jp/gc9b800/?sc_lid-smp_top_01
焼肉きんぐ 板橋前野町店,03-6454-5390,東京都板橋区前野町6-10-6 2F,17:00~23:00(LO22:00)土・日・祝11:00~23:00(LO22:00) 　,12/31・1/1,東武線「ときわ台」徒歩13分、東武線「上板橋」徒歩12分,〇,〇,〇,〇,,〇,〇,〇,〇,,〇,,〇,,,https://www.yakiniku-king.jp/shop/215
麺屋 きころく 成増店,03-3975-2469,東京都板橋区成増2-10-7 ドール・ボナール成増,火~金11:00~15:00 17:00~22:00土・祝11:00~20:00日11:00~15:00 ,月曜日,地下鉄「成増」徒歩1分,〇,〇,〇,〇,,〇,,〇,,,〇,,,,,https://twitter.com/kikoroku
パッキーノ,03-3977-4192,東京都板橋区成増2-12-8 五曠第一ビル 3F,11:00~15:00(LO14:00)17:00~22:00(LO21:00),火曜日,東武線「成増」徒歩1分、地下鉄「成増」徒歩3分,〇,〇,〇,〇,,〇,,,,,〇,,,,,https://s.tabelog.com/tokyo/A1322/A132204/13029950/
鉄板焼 千珠,080-2087-0619,東京都立川市曙町3-4-3,18:00~22:30(LO20:30),水・12月のみ定休日なし,JR「立川」徒歩10分,,,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://senju-tachikawa.owst.jp/
西安餃子 ルミネ立川店,042-548-9271,東京都立川市曙町2-1 ルミネ立川 8F,11:00~21:00(LO20:00),施設に準ずる,JR「立川」徒歩1分,〇,〇,〇,〇,,〇,〇,〇,〇,,〇,,〇,,,https://shian-gyoza-tachikawa.owst.jp/
炭焼き大 立川グリーンスプリングス店,042-512-5800,東京都立川市緑町3-1 立川グリーンスプリングス 1F,ランチ11:00~15:00(LO15:00)ディナー15:00~22:00(LO21:00) ,定休日無し,JR「立川」徒歩5分,〇,,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,〇,〇,https://www.pleasure-company.com/sumiyaki/
和ごはんとカフェ chawan,042-548-3531,東京都立川市柴崎町3-1-1 エキュート立川,ランチ10:00~15:00ディナー月~土15:00~21:30日・祝15:00~21:00,施設に準ずる,JR「立川」徒歩1分,〇,〇,〇,〇,,〇,〇,〇,〇,,〇,,〇,,,https://www.ecute.jp/tachikawa/shop/1205
クレヨンハウス オーガニックレストラン「広場」,0422-27-1377,東京都武蔵野市吉祥寺本町2-15-6,ランチ 11:00~14:30 ティータイム 14:40~17:30ディナー17:30~21:00 ,定休日無し,JR・京王線「吉祥寺」徒歩6分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,〇,〇,,https://www.crayonhouse.co.jp/shop/pages/tk01.aspx
丸亀製麺 武蔵境,042-254-1150,東京都武蔵野市境1-19-1,平日10:30~22:00(LO21:30)土・日・祝10:00~22:00(LO21:30),定休日なし,JR「武蔵境」徒歩5分 ,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,https://jp.marugame.com/
Cafe Sacai,0422-27-8536,東京都武蔵野市境南町4-1-16,11:00~21:00(LO20:20),火・その他不定休はSNSを確認,JR「武蔵境」徒歩8分,〇,〇,〇,〇,〇,〇,〇,,,,,,,,,https://instagram.com/cafesacai?igshid-OGQ5ZDc2ODk2ZA--
CAFE HI FAMIGLIA,0422-38-8311,東京都三鷹市下連雀3-38-4,11:00~21:00,火曜日,JR「三鷹」徒歩6分,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,,,,https://hi-famiglia.com/
星と風のカフェ,0422-44-2255,東京都三鷹市下連雀3-8-13 三鷹駅前福祉住宅 1F,11:30~18:00(LO17:00),月・日・祝,JR「三鷹」徒歩7分,〇,〇,〇,〇,,〇,〇,,,,〇,,〇,,,http://www.hanano-kai.jp/hoshi-cafe/
Cultiver,0422-69-0038,東京都三鷹市下連雀3-1-27,ランチ12:00~15:30(LO13:30)ディナー18:00~22:00(LO19:30),月曜日（祝も含む）,JR「三鷹」徒歩5分,〇,〇,〇,〇,〇,〇,,,,,〇,〇,〇,〇,,https://cultivertokyo.com/
カフェ オレンジブーツ,042-319-9732,東京都府中市宮町1-100 市民活動センター ル・シーニュ 5F 「プラッツ」内 ,9:30~20:00(LO19:30)※土・日・祝のみ11:00~,年末年始・施設に準ずる,京王線「府中」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://orangeboo2.com/
和食バイキング東北牧場,042-333-7115,東京都府中市府中町1-5-1,モーニング7:00~9:30ランチ11:30~15:00(LO14:30)ディナー17:00~22:00(LO21:30),定休日無し,京王線「府中」徒歩1分,〇,〇,〇,〇,〇,,,,,,〇,,,〇,,https://www.hotel-continental.co.jp/dining/restaurant-tohoku-farm/
うなぎ・日本料理 魚元,042-362-2029,東京都府中市府中町2-14-14,ランチ11:30~14:30(LO13:45)ディナー17:00~21:00(LO20:00),月曜日,京王線「府中」徒歩5分,〇,〇,〇,〇,〇,〇,,,,,〇,,,,,https://uomoto.tokyo/
焼肉 丑輪,042-519-7959,東京都昭島市上川原町2-23-1 宝鈴ビル1F,月～土17:00~23:00(LO22:30)日・祝日ランチ12:00~14:30(LO14:00)ディナー17:00~22:00(LO21:30),火曜日,JR「昭島」徒歩8分,,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://gh1d300.gorp.jp/
空と大地と,03-5314-7082,東京都調布市東つつじケ丘2-27-1,10:30~15:00(LO14:00),日曜日,京王線「つつじヶ丘」徒歩2分,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,,〇,,https://soradai.kenseikai-group.or.jp/
Cafe Gallery さえずり,042-444-8818,東京都調布市国領町1-3-1 調布セントラルアパート 1F,10:30~16:00(LO15:30),土・日・祝・不定休,京王線「布田」徒歩3分,〇,〇,〇,〇,,〇,〇,〇,,,〇,〇,〇,,,https://cafe-gallery-saezuri.jimdofree.com/
雲龍一包軒 トリエ京王調布,042-426-4540,東京都調布市布田4-4-22 トリエ京王調布A館 5階,11:00~22:00(LO21:30),施設に準ずる,京王線「調布」徒歩1分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://kiwa-group.co.jp/unryu_chofu/
デリ＆カフェ 桃の実,042-483-0150,東京都調布市上石原1-31-24,10:00~18:00(LO17:30),火曜日,京王線「西調布」徒歩5分,,〇,〇,〇,〇,〇,〇,〇,,,〇,,,,,https://instagram.com/momonomi_150?igshid-OGQ5ZDc2ODk2ZA--
カフェ ラグラス,042-344-7199,東京都小平市美園町1-24-14 ヴァンベール 1F,10:30~16:00(LO15:30)ランチ11:30~14:00※ランチは無くなり次第終了,水・木(祭日の場合は営業),西武線「小平」徒歩5分,〇,〇,〇,〇,〇,〇,〇,,,,〇,〇,,,,https://www.cafelaguras.jp/
橙や 小平南口店,042-207-9600,東京都小平市美園町1-8-1 ルネセブン106,ランチ11:30~14:30 (LO14:30)ディナー17:00~22:30(LO21:30),火・水,西武線「小平」徒歩1分,〇,〇,〇,,〇,〇,,〇,,,〇,,,,,https://r.gnavi.co.jp/p777900/
cafe moimoi,042-391-0375,東京都東村山市栄町3-10-18 エクレール八坂 ,11:30~20:00(LO20:00),不定休,西武線「八坂」徒歩1分、西武線「久米川」徒歩8分,〇,,〇,〇,〇,〇,,,,,〇,,,,,https://cafe-moimoi.owst.jp/
Dining Amina,042-308-1402,東京都東村山市栄町2-5-3 1F,17:00~23:00(LO22:30),日・不定休,西武線「久米川」徒歩3分,〇,,〇,〇,〇,〇,,,,,〇,,,,,https://dining-amina.net/index.html
ガスト東村山市役所前店,0570-004-810,東京都東村山市本町1-17-2,モーニング全日7:00~10:30(LO10:30)ランチ平日10:30~17:00(LO17:00)※土・休日はグランドメニュー ディナー17:00~24:00(LO23:30),定休日無し,西武線「東村山」徒歩10分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://store-info.skylark.co.jp/gusto/map/017750
ロ・スティヴァーレ,042-394-2369,東京都東村山市野口町3-5-9,ランチ11:30~15:00(LO14:30)ディナー18:00~21:00(LO20:00),月曜日,西武線「東村山」徒歩10分,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,〇,,http://www.lo-stivale-it.com/
ナマステ ヒマール 国分寺店,042-323-2416,東京都国分寺市南町2-16-21 冨士ビル 1F,ランチ11:00~17:00ディナー17:00~23:00,定休日無し,JR「国分寺」徒歩1分,〇,〇,〇,〇,,〇,,〇,〇,,〇,,〇,〇,,https://s.tabelog.com/tokyo/A1325/A132502/13289576/
ひこばえメモリーズ,03-5761-4819,東京都狛江市東和泉3-9-6,平日11:30~18:00(LO18:00)土・休日・年末年始9:30~19:00(LO19:00),木・不定休(休日は原則営業),小田急線「和泉多摩川」徒歩1分,〇,,〇,〇,〇,〇,,,,,〇,,,〇,,https://instagram.com/hikobaememories?igshid-OGQ5ZDc2ODk2ZA--
もぐもぐの森,042-452-6613,東京都西東京市田無町4-17-14 フレンドリー 1F,火・水・木・土11:30~16:30(LO16:00)金11:30~15:30(LO15:00),月・日・祝,西武線「田無」徒歩8分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,,,,https://instagram.com/mogu__cafe?igshid-OGQ5ZDc2ODk2ZA--
シーポルテ,042-445-0122,東京都西東京市ひばりが丘1-6-17,11:30~18:00(LO17:00),火・水・木,西武線「ひばりヶ丘」徒歩5分,〇,〇,〇,〇,〇,,,,,,〇,,,,,http://c-porte.aimcraft.jp/
喫茶コーナー ふれあい,042-464-8211,東京都西東京市柳沢1-15-1 柳沢公民館 1F,10:30~16:15(LO16:05),施設に準ずる,西武線「西武柳沢」徒歩1分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,,,,https://m.facebook.com/nishitokyosyougaisyafukushi
コナズ珈琲 多摩ニュータウン店,042-674-5001,東京都八王子市別所2-40,平日10:00~22:00(LO21:00)土・日・祝9:00~22:00(LO21:00),定休日無し,京王線「京王堀之内」徒歩20分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,〇,,,https://konas-coffee.com/
クリーム本舗 八王子店,042-653-9666,東京都八王子市下柚木2-5-18,12:00~23:00 ,定休日無し,京王線「南大沢」徒歩30分,〇,,〇,〇,〇,〇,,,,,〇,,,,,https://creamhonpo.crayonsite.net/
キッチン&ダイニング プクプク,042-673-7737,東京都八王子市初沢町1231-16 京王リトナード高尾C棟,ランチ11:30~15:00(LO14:00)ディナー17:00~22:00(LO21:00),火曜日,JR・京王線「高尾」徒歩3分,〇,〇,〇,〇,〇,〇,,,,,〇,,,,,https://ggks700.gorp.jp/
トラットリア&ピッツェリア Dai 町田本店,042-860-6191,東京都町田市森野1-34-2 鹿島屋ビル 1F,11:00~23:00(LO22:00),不定休,小田急線「町田」徒歩5分,,,〇,〇,〇,〇,,〇,,,〇,,〇,〇,,https://www.pleasure-company.com/trattoria-pizzeria/
寿司・しゃぶしゃぶ ゆず庵 多摩境店,042-775-6162 ,東京都町田市小山ヶ丘2-7-2,ランチ11:00~15:00(LO15:00)ディナー15:00~24:00最終入店22:00,12/31・1/1,京王線「多摩境」徒歩3分,〇,〇,,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://www.shabu-yuzuan.jp/shop/1
お好み焼本舗 多摩境店,042-775-7731,東京都町田市小山ヶ丘2-7-1,平日ランチ11:00~16:00(LO16:00)ディナー16:00~23:00(LO22:30)土・日・祝ランチ11:00~15:00(LO15:00)ディナー15:00~23:00(LO22:30),12/31・1/1,京王線「多摩境」徒歩3分,〇,〇,,,〇,〇,〇,〇,,,〇,,〇,,,https://www.okonomiyaki-honpo.jp/shop/226
バーミヤン 日野万願寺店,042-589-0120,東京都日野市万願寺4-31-2　,10:00~24:00(LO23:30),定休日無し,多摩都市モノレール「万願寺」徒歩15分,〇,〇,〇,〇,〇,〇,,〇,〇,,〇,,〇,,,https://store-info.skylark.co.jp/bamiyan/map/171536
かごの屋 多摩センター駅前店,050-1807-8638,東京都多摩市落合1-2-1,ランチ11:00~15:30(LO15:00)ディナー17:00~21:30(LO21:00)※土・日・祝のみ11:00~22:00(LO21:30),定休日無し,京王線「京王多摩センター」徒歩2分,〇,〇,〇,〇,〇,〇,〇,〇,,,〇,,〇,,,https://kagonoya.food-kr.com/0577/
稲城焼肉製作所,050-8881-3336,東京都稲城市大丸1045 藤ビル201,平日ランチ11:30~14:00(LO13:30)ディナー17:00~22:00(LO21:30)土・日・祝ランチ11:30~15:00(LO15:00)土ディナー15:00~22:30(LO22:00)日・祝ディナー 15:00~22:00(LO21:30),木曜日,JR「南多摩」徒歩2分,〇,,〇,〇,〇,〇,〇,,,,〇,,,,,https://inashiroyakinikuseisakujyo.com/index.html
丸源ラーメン 青梅店,0428-78-4655,東京都青梅市東青梅3-24-11,10:30~24:00(LO23:40)  ,12/31・1/1,JR「東青梅」徒歩12分,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,,〇,,,https://www.syodai-marugen.jp/shop/205
うなぎのうな幸,0428-85-9495,東京都青梅市梅郷1-30-4,11:00~20:00(LO19:30),木曜日,JR「日向和田」徒歩16分,〇,〇,〇,〇,〇,〇,〇,,,,〇,,,,,https://tabelog.com/tokyo/A1330/A133003/13288894/
さかなや道場 秋川駅前店,042-532-7621,東京都あきる野市秋川1-1-1 第9グリーンビル秋川 1F,16:00~23:00(LO22:00),定休日無し,JR「秋川」徒歩1分,〇,,,〇,,〇,,〇,〇,,〇,,,〇,〇,https://sakanayadojo.com/akikawa/
桐生庵,042-533-2522,東京都あきる野市油平125-10,11:00~15:00,水・第3火曜日,JR「秋川」徒歩6分,〇,〇,〇,〇,,〇,〇,〇,,,〇,,〇,〇,,https://kiriuan-akiruno.com
雑魚や 紀洋丸,04992-2-1414,東京都大島町元町馬の背,ランチ11:30~13:30ディナー17:30~20:00,木・日・不定休,バス停「支庁前」徒歩5分,〇,,〇,〇,〇,〇,,〇,〇,,〇,,,,,https://www.instagram.com/kiyomaru_izuoshima?igsh-OGQ5ZDc2ODk2ZA%3D%3D&utm_source-qr
魚介創作料理 地魚処 魚八亭,04996-2-2807,東京都八丈町三根198-1,モーニング7:00~10:00ランチ11:00~15:00ディナー17:00~22:00,不定休,八丈島空港から徒歩20分,,〇,〇,〇,〇,〇,,,〇,,〇,,〇,〇,〇,https://uohachitei.com/hachijo/
Bonina（ボニーナ）,04998-2-3027,東京都小笠原村父島字東町,ランチ11:30~14:00(LO13:30)ディナー17:30~23:00(LO22:00),不定休,二見港船客ターミナルから徒歩3分,,,〇,〇,〇,〇,,〇,〇,,〇,,〇,〇,〇,https://www.instagram.com/bonina_ogasawara/
